


size=800;  patch=20;  processor=16;  runtime=0.9373447829857469



800;20;16;1.0379064972512424
size=800;  patch=20;  processor=16;  runtime=1.0379064972512424



800;21;16;0.9375649150460958
size=800;  patch=21;  processor=16;  runtime=0.9375649150460958



800;21;16;0.9385176599025726
size=800;  patch=21;  processor=16;  runtime=0.9385176599025726



800;21;16;0.9384232917800546
size=800;  patch=21;  processor=16;  runtime=0.9384232917800546



800;22;16;1.0376835050992668
size=800;  patch=22;  processor=16;  runtime=1.0376835050992668



800;22;16;0.9385163253173232
size=800;  patch=22;  processor=16;  runtime=0.9385163253173232



800;22;16;1.0387239288538694
size=800;  patch=22;  processor=16;  runtime=1.0387239288538694



800;23;16;1.0375369251705706
size=800;  patch=23;  processor=16;  runtime=1.0375369251705706



800;23;16;1.0382701600901783
size=800;  patch=23;  processor=16;  runtime=1.0382701600901783



800;23;16;1.0378589150495827
size=800;  patch=23;  processor=16;  runtime=1.0378589150495827



800;24;16;1.038526905234903
size=800;  patch=24;  processor=16;  runtime=1.038526905234903



800;24;16;0.9373417985625565
size=800;  patch=24;  processor=16;  runtime=0.9373417985625565



800;24;16;0.9374113092198968
size=800;  patch=24;  processor=16;  runtime=0.9374113092198968



800;25;16;0.9382426631636918
size=800;  patch=25;  processor=16;  runtime=0.9382426631636918



800;25;16;1.037052595987916
size=800;  patch=25;  processor=16;  runtime=1.037052595987916



800;25;16;0.9372324179857969
size=800;  patch=25;  processor=16;  runtime=0.9372324179857969



800;26;16;1.0370157877914608
size=800;  patch=26;  processor=16;  runtime=1.0370157877914608



800;26;16;1.0395788219757378
size=800;  patch=26;  processor=16;  runtime=1.0395788219757378



800;26;16;1.0374839431606233
size=800;  patch=26;  processor=16;  runtime=1.0374839431606233



800;27;16;0.9383073109202087
size=800;  patch=27;  processor=16;  runtime=0.9383073109202087



800;27;16;0.9379469649866223
size=800;  patch=27;  processor=16;  runtime=0.9379469649866223



800;27;16;0.9381942842155695
size=800;  patch=27;  processor=16;  runtime=0.9381942842155695



800;28;16;1.0370472189970315
size=800;  patch=28;  processor=16;  runtime=1.0370472189970315



800;28;16;1.038145731203258
size=800;  patch=28;  processor=16;  runtime=1.038145731203258



800;28;16;1.039026312995702
size=800;  patch=28;  processor=16;  runtime=1.039026312995702



800;29;16;1.0384332300163805
size=800;  patch=29;  processor=16;  runtime=1.0384332300163805



800;29;16;0.9361911392770708
size=800;  patch=29;  processor=16;  runtime=0.9361911392770708



800;29;16;1.0376558732241392
size=800;  patch=29;  processor=16;  runtime=1.0376558732241392



800;30;16;1.0364360618405044
size=800;  patch=30;  processor=16;  runtime=1.0364360618405044



800;30;16;1.0371225168928504
size=800;  patch=30;  processor=16;  runtime=1.0371225168928504



800;30;16;1.0375530109740794
size=800;  patch=30;  processor=16;  runtime=1.0375530109740794
